fecha,imacec_original,imacec_sa
1996-01-01,42.5,42.0
1996-02-01,41.2,42.5
1996-03-01,44.7,42.5
1996-04-01,43.7,42.6
1996-05-01,43.5,42.6
1996-06-01,41.9,43.1
1996-07-01,41.4,43.1
1996-08-01,42.1,43.2
1996-09-01,40.5,43.3
1996-10-01,44.1,43.7
1996-11-01,44.5,43.8
1996-12-01,47.1,44.0
1997-01-01,45.1,44.9
1997-02-01,43.2,44.8
1997-03-01,47.2,44.7
1997-04-01,46.3,45.2
1997-05-01,46.9,46.1
1997-06-01,44.6,45.9
1997-07-01,44.6,46.3
1997-08-01,45.4,46.8
1997-09-01,44.2,47.2
1997-10-01,47.8,47.4
1997-11-01,48.6,47.8
1997-12-01,51.5,48.1
1998-01-01,48.4,48.1
1998-02-01,46.4,48.0
1998-03-01,51.1,48.4
1998-04-01,50.5,49.3
1998-05-01,49.5,48.8
1998-06-01,47.4,48.8
1998-07-01,46.8,48.8
1998-08-01,47.0,48.5
1998-09-01,45.6,48.6
1998-10-01,47.7,47.4
1998-11-01,47.7,46.8
1998-12-01,50.4,47.0
1999-01-01,47.3,47.0
1999-02-01,45.2,47.0
1999-03-01,49.7,47.2
1999-04-01,48.1,46.8
1999-05-01,47.9,47.1
1999-06-01,46.6,47.7
1999-07-01,45.8,47.7
1999-08-01,46.7,48.0
1999-09-01,46.0,48.9
1999-10-01,49.6,49.0
1999-11-01,50.8,49.7
1999-12-01,53.3,49.8
2000-01-01,50.0,49.9
2000-02-01,47.8,49.9
2000-03-01,52.8,49.9
2000-04-01,51.4,50.1
2000-05-01,51.0,50.3
2000-06-01,48.5,49.7
2000-07-01,48.4,50.6
2000-08-01,49.3,50.9
2000-09-01,47.7,50.9
2000-10-01,51.6,51.1
2000-11-01,52.4,51.4
2000-12-01,54.8,51.7
2001-01-01,51.1,51.4
2001-02-01,49.4,51.8
2001-03-01,55.1,52.1
2001-04-01,53.2,52.0
2001-05-01,52.8,52.3
2001-06-01,51.3,52.6
2001-07-01,49.7,52.0
2001-08-01,50.7,52.3
2001-09-01,49.0,52.1
2001-10-01,53.1,52.4
2001-11-01,53.7,52.7
2001-12-01,55.6,52.4
2002-01-01,52.4,53.1
2002-02-01,49.6,52.8
2002-03-01,55.5,52.9
2002-04-01,54.8,53.5
2002-05-01,54.0,53.1
2002-06-01,52.6,53.5
2002-07-01,51.6,53.6
2002-08-01,52.6,53.9
2002-09-01,51.5,54.3
2002-10-01,55.6,54.5
2002-11-01,56.2,54.7
2002-12-01,58.5,54.9
2003-01-01,54.9,55.4
2003-02-01,52.5,55.6
2003-03-01,58.5,55.5
2003-04-01,57.4,55.9
2003-05-01,56.9,56.0
2003-06-01,55.4,56.3
2003-07-01,54.2,56.4
2003-08-01,54.9,56.3
2003-09-01,53.7,56.6
2003-10-01,58.0,56.7
2003-11-01,58.3,56.7
2003-12-01,60.6,56.8
2004-01-01,57.0,57.5
2004-02-01,54.9,57.9
2004-03-01,61.9,58.5
2004-04-01,60.6,58.8
2004-05-01,60.1,59.1
2004-06-01,58.5,59.3
2004-07-01,58.0,60.4
2004-08-01,59.1,60.6
2004-09-01,57.8,60.8
2004-10-01,62.9,61.5
2004-11-01,63.4,61.6
2004-12-01,66.1,61.7
2005-01-01,61.0,61.6
2005-02-01,58.3,61.4
2005-03-01,65.2,62.0
2005-04-01,64.4,62.7
2005-05-01,63.3,62.4
2005-06-01,62.2,63.0
2005-07-01,60.6,63.4
2005-08-01,63.2,64.8
2005-09-01,61.2,64.4
2005-10-01,65.6,64.1
2005-11-01,67.0,65.1
2005-12-01,70.4,65.7
2006-01-01,64.3,65.2
2006-02-01,62.5,65.9
2006-03-01,68.6,65.6
2006-04-01,67.6,66.3
2006-05-01,67.9,67.2
2006-06-01,66.4,67.3
2006-07-01,64.3,67.3
2006-08-01,65.9,67.7
