Año,Mes,nombre_mes,mes_año,Índice,Variación Mensual (%),Variación 12 Meses (%),Glosa
2009,12,Diciembre,Diciembre 2009,57.31,,,IPC General
2010,1,Enero,Enero 2010,57.61,0.5,,IPC General
2010,2,Febrero,Febrero 2010,57.77,0.3,,IPC General
2010,3,Marzo,Marzo 2010,57.82,0.1,,IPC General
2010,4,Abril,Abril 2010,58.09,0.5,,IPC General
2010,5,Mayo,Mayo 2010,58.3,0.4,,IPC General
2010,6,Junio,Junio 2010,58.3,0.0,,IPC General
2010,7,Julio,Julio 2010,58.67,0.6,,IPC General
2010,8,Agosto,Agosto 2010,58.62,-0.1,,IPC General
2010,9,Septiembre,Septiembre 2010,58.85,0.4,,IPC General
2010,10,Octubre,Octubre 2010,58.91,0.1,,IPC General
2010,11,Noviembre,Noviembre 2010,58.95,0.1,,IPC General
2010,12,Diciembre,Diciembre 2010,59.02,0.1,,IPC General
2011,1,Enero,Enero 2011,59.18,0.3,2.7,IPC General
2011,2,Febrero,Febrero 2011,59.31,0.2,2.7,IPC General
2011,3,Marzo,Marzo 2011,59.77,0.8,3.4,IPC General
2011,4,Abril,Abril 2011,59.96,0.3,3.2,IPC General
2011,5,Mayo,Mayo 2011,60.2,0.4,3.3,IPC General
2011,6,Junio,Junio 2011,60.3,0.2,3.4,IPC General
2011,7,Julio,Julio 2011,60.38,0.1,2.9,IPC General
2011,8,Agosto,Agosto 2011,60.47,0.2,3.2,IPC General
2011,9,Septiembre,Septiembre 2011,60.78,0.5,3.3,IPC General
2011,10,Octubre,Octubre 2011,61.07,0.5,3.7,IPC General
2011,11,Noviembre,Noviembre 2011,61.26,0.3,3.9,IPC General
2011,12,Diciembre,Diciembre 2011,61.64,0.6,4.4,IPC General
2012,1,Enero,Enero 2012,61.69,0.1,4.2,IPC General
2012,2,Febrero,Febrero 2012,61.93,0.4,4.4,IPC General
2012,3,Marzo,Marzo 2012,62.03,0.2,3.8,IPC General
2012,4,Abril,Abril 2012,62.06,0.1,3.5,IPC General
2012,5,Mayo,Mayo 2012,62.08,0.0,3.1,IPC General
2012,6,Junio,Junio 2012,61.9,-0.3,2.7,IPC General
2012,7,Julio,Julio 2012,61.89,0.0,2.5,IPC General
2012,8,Agosto,Agosto 2012,62.03,0.2,2.6,IPC General
2012,9,Septiembre,Septiembre 2012,62.5,0.8,2.8,IPC General
2012,10,Octubre,Octubre 2012,62.85,0.6,2.9,IPC General
2012,11,Noviembre,Noviembre 2012,62.57,-0.5,2.1,IPC General
2012,12,Diciembre,Diciembre 2012,62.55,0.0,1.5,IPC General
2013,1,Enero,Enero 2013,62.67,0.2,1.6,IPC General
2013,2,Febrero,Febrero 2013,62.74,0.1,1.3,IPC General
2013,3,Marzo,Marzo 2013,62.98,0.4,1.5,IPC General
2013,4,Abril,Abril 2013,62.68,-0.5,1.0,IPC General
2013,5,Mayo,Mayo 2013,62.67,0.0,0.9,IPC General
2013,6,Junio,Junio 2013,63.07,0.6,1.9,IPC General
2013,7,Julio,Julio 2013,63.24,0.3,2.2,IPC General
2013,8,Agosto,Agosto 2013,63.39,0.2,2.2,IPC General
2013,9,Septiembre,Septiembre 2013,63.73,0.5,2.0,IPC General
2013,10,Octubre,Octubre 2013,63.82,0.1,1.5,IPC General
2013,11,Noviembre,Noviembre 2013,64.06,0.4,2.4,IPC General
2013,12,Diciembre,Diciembre 2013,64.44,0.6,3.0,IPC General
2014,1,Enero,Enero 2014,64.56,0.2,3.0,IPC General
2014,2,Febrero,Febrero 2014,64.87,0.5,3.4,IPC General
2014,3,Marzo,Marzo 2014,65.41,0.8,3.9,IPC General
2014,4,Abril,Abril 2014,65.82,0.6,5.0,IPC General
2014,5,Mayo,Mayo 2014,66.04,0.3,5.4,IPC General
2014,6,Junio,Junio 2014,66.08,0.1,4.8,IPC General
2014,7,Julio,Julio 2014,66.23,0.2,4.7,IPC General
2014,8,Agosto,Agosto 2014,66.44,0.3,4.8,IPC General
2014,9,Septiembre,Septiembre 2014,67.0,0.8,5.1,IPC General
2014,10,Octubre,Octubre 2014,67.7,1.0,6.1,IPC General
2014,11,Noviembre,Noviembre 2014,67.71,0.0,5.7,IPC General
2014,12,Diciembre,Diciembre 2014,67.43,-0.4,4.6,IPC General
2015,1,Enero,Enero 2015,67.49,0.1,4.5,IPC General
2015,2,Febrero,Febrero 2015,67.72,0.4,4.4,IPC General
2015,3,Marzo,Marzo 2015,68.15,0.6,4.2,IPC General
2015,4,Abril,Abril 2015,68.54,0.6,4.1,IPC General
2015,5,Mayo,Mayo 2015,68.66,0.2,4.0,IPC General
2015,6,Junio,Junio 2015,69.0,0.5,4.4,IPC General
