mes,imacec_acumulado_anual,imacec_sa_anual,ipc_acumulado_diciembre,ipc_anual
2011-12,6.213466118207411,6.818181818181812,4.4,4.4
2012-12,6.155727680391343,4.255319148936176,1.5,1.5
2013-12,3.312211981566815,1.814058956916087,3.0,3.0
2014-12,1.7749279806709595,2.4498886414253906,4.6,4.6
2015-12,2.1639883126369552,1.8478260869565277,4.4,4.4
2016-12,1.7517204397175634,1.2806830309498363,2.7,2.7
2017-12,1.3438735177865535,3.3719704952581475,2.3,2.3
2018-12,4.004160166406656,2.3445463812436396,2.6,2.6
2019-12,0.6333333333333302,-0.8964143426294924,3.0,3.0
2020-12,-6.136137793971508,0.20100502512563345,3.0,3.0
2021-12,11.345390383767096,8.926780341023054,7.2,7.2
2022-12,2.060058632438011,-1.7495395948434522,12.8,12.8
2023-12,0.690940144398744,1.5932521087160367,3.9,3.9
2024-12,2.7987663839629917,4.428044280442811,4.5,4.5
2025-12,2.452561314032864,0.6183745583038913,3.5,3.5
