fecha,ipc_anual,ir_real_anual,estado_ir,desocupacion,Trimestre,fecha_central_ene,fecha_final_ene,imacec_original,imacec_sa,imacec_promedio_3m,imacec_promedio_anual,imacec_sa_anual,imacec_acumulado_anual,imacec_sa_mensual,imacec_inicio_promedio,imacec_fin_promedio,mes,ir_magnitud,ir_signo,alineacion_ene,pandemia,ipc_acumulado_diciembre,distancia_meta_ipc_pp,distancia_referencia_nairu_pp
2011-01-01,2.7,2.87855035732827,R,7.442769364665214,Dic - Feb,2011-01-01,2011-02-01,78.0,79.7,79.16666666666667,7.1267478574650545,7.2678331090175075,7.586206896551717,0.631313131313127,2010-12-01,2011-02-01,2011-01,2.87855035732827,Aumento,central,False,,-0.2999999999999998,-0.8072306353347862
2011-02-01,2.7,3.05871431512763,R,7.5481165580962895,Ene - Mar,2011-02-01,2011-03-01,74.3,79.7,79.03333333333335,8.761467889908259,6.125166444740349,7.027406886858745,0.0,2011-01-01,2011-03-01,2011-02,3.05871431512763,Aumento,central,False,,-0.2999999999999998,-0.7018834419037105
2011-03-01,3.4,2.84313893717416,R,7.211111860205037,Feb - Abr,2011-03-01,2011-04-01,84.8,80.6,80.5,8.150470219435736,11.634349030470892,8.761467889908259,1.1292346298619638,2011-02-01,2011-04-01,2011-03,2.84313893717416,Aumento,central,False,,0.3999999999999999,-1.0388881397949632
2011-04-01,3.2,2.63541504382701,R,7.304763451880472,Mar - May,2011-04-01,2011-05-01,82.4,81.2,83.39999999999999,8.40554592720968,6.282722513089012,8.012170385395523,0.7444168734491496,2011-03-01,2011-05-01,2011-04,2.63541504382701,Aumento,central,False,,0.20000000000000018,-0.945236548119528
2011-05-01,3.3,1.96706637561201,R,7.212255397048333,Abr - Jun,2011-05-01,2011-06-01,83.0,81.2,81.93333333333334,6.268914829226113,6.842105263157894,7.879924953095685,0.0,2011-04-01,2011-06-01,2011-05,1.96706637561201,Aumento,central,False,,0.2999999999999998,-1.0377446029516673
2011-06-01,3.4,2.24994137518066,R,7.553369301477564,May - Jul,2011-06-01,2011-07-01,80.4,81.1,80.2,5.71177504393674,5.736636245110804,7.478299577119962,-0.12315270935961964,2011-05-01,2011-07-01,2011-06,2.24994137518066,Aumento,central,False,,0.3999999999999999,-0.6966306985224362
2011-07-01,2.9,2.93311354981332,R,7.514649470764548,Jun - Ago,2011-07-01,2011-08-01,77.2,81.3,79.46666666666668,4.745166959578229,4.364569961489084,7.011845624761182,0.2466091245376223,2011-06-01,2011-08-01,2011-07,2.93311354981332,Aumento,central,False,,-0.10000000000000009,-0.7353505292354523
2011-08-01,3.2,2.79810817103912,R,7.626381175740099,Jul - Sep,2011-08-01,2011-09-01,80.8,81.8,78.89999999999999,4.503311258278142,4.737516005121645,6.692192442150802,0.6150061500614923,2011-07-01,2011-09-01,2011-08,2.79810817103912,Aumento,central,False,,0.20000000000000018,-0.6236188242599008
2011-09-01,3.3,2.62824066465168,R,7.4366909896982385,Ago - Oct,2011-09-01,2011-10-01,78.7,82.0,81.23333333333333,4.817204301075262,4.591836734693877,6.4812074578277645,0.24449877750611915,2011-08-01,2011-10-01,2011-09,2.62824066465168,Aumento,central,False,,0.2999999999999998,-0.8133090103017615
2011-10-01,3.7,2.11400809180744,R,7.3319133368942,Sep - Nov,2011-10-01,2011-11-01,84.2,82.7,83.10000000000001,4.791929382093341,5.350318471337578,6.3368170392908985,0.8536585365853666,2011-09-01,2011-11-01,2011-10,2.11400809180744,Aumento,central,False,,0.7000000000000002,-0.9180866631058002
